PID,dateCaptured,field_contact_info,field_digital_origin,field_digital_reproduction_info,field_extent,field_form,"field_form, field_form_URI",field_form_URI,field_genre,field_identifier,field_institution_web_site,field_language_of_cataloging,field_linked_agent,field_note,field_oclc_symbol,field_physical_description_note,field_physical_location,"field_physical_location, field_institution_website",field_place_of_origin,field_preferred_citation,field_record_change_date,field_record_content_source,field_record_creation_date,field_record_origin,field_relation,field_repository_collection_guide,field_rights_information,field_rights_statement,field_shelf_location,field_subject_geographic,field_subject_topic,field_sublocation,nan
lsu-ag-assct:1601,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-11-06:00,,2013-12-12|2013-12-12,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-ag-assct:collection,,This item is in the public domain.,,TP375. A564,,Sugar|Manufacture and refining|Congresses|Sugarcane|Congresses|Sugar|Manufacture and refining|Florida|Periodicals|Sugar|Manufacture and refining|Louisiana|Periodicals|Sugarcane|Louisiana|Periodicals|Sugarcane|Florida|Periodicals|Sugar|Manufacture and refining|Periodicals|Sugarcane|Periodicals,,
lsu-ag-assct:201,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-11-06:00,,2013-12-12|2013-12-12,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-ag-assct:collection,,This item is in the public domain.,,TP375. A564,,Sugar|Manufacture and refining|Congresses|Sugarcane|Congresses|Sugar|Manufacture and refining|Florida|Periodicals|Sugar|Manufacture and refining|Louisiana|Periodicals|Sugarcane|Louisiana|Periodicals|Sugarcane|Florida|Periodicals|Sugar|Manufacture and refining|Periodicals|Sugarcane|Periodicals,,
lsu-ag-assct:2292,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-11-06:00,,2013-12-12|2013-12-12,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-ag-assct:collection,,This item is in the public domain.,,TP375. A564,,Sugar|Manufacture and refining|Congresses|Sugarcane|Congresses|Sugar|Manufacture and refining|Florida|Periodicals|Sugar|Manufacture and refining|Louisiana|Periodicals|Sugarcane|Louisiana|Periodicals|Sugarcane|Florida|Periodicals|Sugar|Manufacture and refining|Periodicals|Sugarcane|Periodicals,,
lsu-ag-assct:3537,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-11-06:00,,2013-12-12|2013-12-12,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-ag-assct:collection,,This item is in the public domain.,,TP375. A564,,Sugar|Manufacture and refining|Congresses|Sugarcane|Congresses|Sugar|Manufacture and refining|Florida|Periodicals|Sugar|Manufacture and refining|Louisiana|Periodicals|Sugarcane|Louisiana|Periodicals|Sugarcane|Florida|Periodicals|Sugar|Manufacture and refining|Periodicals|Sugarcane|Periodicals,,
lsu-ag-assct:5037,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-11-06:00,,2013-12-12|2013-12-12,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-ag-assct:collection,,This item is in the public domain.,,TP375. A564,,Sugar|Manufacture and refining|Congresses|Sugarcane|Congresses|Sugar|Manufacture and refining|Florida|Periodicals|Sugar|Manufacture and refining|Louisiana|Periodicals|Sugarcane|Louisiana|Periodicals|Sugarcane|Florida|Periodicals|Sugar|Manufacture and refining|Periodicals|Sugarcane|Periodicals,,
lsu-ag-assct:5226,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-11-06:00,,2013-12-12|2013-12-12,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-ag-assct:collection,,This item is in the public domain.,,TP375. A564,,Sugar|Manufacture and refining|Congresses|Sugarcane|Congresses|Sugar|Manufacture and refining|Florida|Periodicals|Sugar|Manufacture and refining|Louisiana|Periodicals|Sugarcane|Louisiana|Periodicals|Sugarcane|Florida|Periodicals|Sugar|Manufacture and refining|Periodicals|Sugarcane|Periodicals,,
lsu-ag-assct:5485,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-11-06:00,,2013-12-12|2013-12-12,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-ag-assct:collection,,This item is in the public domain.,,TP375. A564,,Sugar|Manufacture and refining|Congresses|Sugarcane|Congresses|Sugar|Manufacture and refining|Florida|Periodicals|Sugar|Manufacture and refining|Louisiana|Periodicals|Sugarcane|Louisiana|Periodicals|Sugarcane|Florida|Periodicals|Sugar|Manufacture and refining|Periodicals|Sugarcane|Periodicals,,
lsu-ag-assct:6347,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-11-06:00,,2013-12-12|2013-12-12,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-ag-assct:collection,,This item is in the public domain.,,TP375. A564,,Sugar|Manufacture and refining|Congresses|Sugarcane|Congresses|Sugar|Manufacture and refining|Florida|Periodicals|Sugar|Manufacture and refining|Louisiana|Periodicals|Sugarcane|Louisiana|Periodicals|Sugarcane|Florida|Periodicals|Sugar|Manufacture and refining|Periodicals|Sugarcane|Periodicals,,
lsu-ag-assct:802,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-11-06:00,,2013-12-12|2013-12-12,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-ag-assct:collection,,This item is in the public domain.,,TP375. A564,,Sugar|Manufacture and refining|Congresses|Sugarcane|Congresses|Sugar|Manufacture and refining|Florida|Periodicals|Sugar|Manufacture and refining|Louisiana|Periodicals|Sugarcane|Louisiana|Periodicals|Sugarcane|Florida|Periodicals|Sugar|Manufacture and refining|Periodicals|Sugarcane|Periodicals,,
lsu-govdocs-p16313coll35:177,,E-mail diglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-06-06:00,,2013-11-01|2013-11-01,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-govdocs-p16313coll35:collection,,,,"Available in the Engineer Research & Development Center (EDRC) USACE, Vicksburg, MS http://acwc.sdp.sirsi.net/client/search/asset/1027441",Mississippi River,Public lands|Louisiana|Environmental protection|Louisiana|Dredging|Environmental aspects|Louisiana,,
