atributes,atributes frequency,tags,tags frequency
mods,1,authority,20
subject,9,displayLabel,9
topic,21,type,12
name,7,keyDate,0
fname,3,authorityURI,1
subject2,0,valueURI,1
lname,1,{http://www.w3.org/1999/xlink}href,0
namePart,4,NONE, 
fff,0,NONE, 
titleInfo,1,NONE, 
title,2,NONE, 
role,3,NONE, 
roleTerm,6,NONE, 
originInfo,0,NONE, 
publisher,0,NONE, 
dateIssued,0,NONE, 
typeOfResource,0,NONE, 
relatedItem,0,NONE, 
location,1,NONE, 
url,0,NONE, 
part,1,NONE, 
detail,1,NONE, 
caption,0,NONE, 
number,0,NONE, 
physicalLocation,1,NONE, 
holdingSimple,0,NONE, 
copyInformation,0,NONE, 
shelfLocator,0,NONE, 
accessCondition,1,NONE, 
recordInfo,0,NONE, 
recordOrigin,0,NONE, 
recordCreationDate,0,NONE, 
recordChangeDate,0,NONE, 
languageOfCataloging,0,NONE, 
languageTerm,0,NONE, 
