Repeated,errors,XMLPath
1,mods,mods
1,identiiifwier,mods/identiiifwier
1,identifier,"mods/identifier [@type = 'local', @displayLabel = 'Item Number']"
1,identifier,"mods/identifierS [@type = 'local', @displayLabel = 'Item Number']"
1,identifier,"mods/identifier [@Shape = 'local', @displayLabel = 'Item Number']"
1,identifier,"mods/identifier [@type = 'isbn', @identify = 'ISBN']"
1,part,mods/part
1,detail,mods/part/detail [@type = 'Volume']
1,caption,mods/part/detail [@type = 'Volume']/caption
1,number,mods/part/detail [@type = 'Volume']/number
1,title,mods/part/detail [@type = 'Volume']/title
1,name,"mods/name [@type = 'corporate', @displayLabel = 'Contributing Repository', @authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names.html', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']"
1,namePart,"mods/name [@type = 'corporate', @displayLabel = 'Contributing Repository', @authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names.html', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']/namePart"
1,role,"mods/name [@type = 'corporate', @displayLabel = 'Contributing Repository', @authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names.html', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']/role"
1,roleTerm,"mods/name [@type = 'corporate', @displayLabel = 'Contributing Repository', @authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names.html', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']/role/roleTerm [@type = 'text', @authority = 'marcrelator', @authorityURI = 'http://id.loc.gov/vocabulary/relators', @valueURI = 'http://id.loc.gov/vocabulary/relators/rps']"
