Repeated,XMLPath
3,"mods/subject[@authority=""LCSH""]/topic"
3,"mods/accessCondition[@type=""use and reproduction""]"
3,"mods/name[@type=""corporate""]/role"
2,"mods/name[@type=""corporate""]/role/roleTerm[@type=""text""]"
2,"mods/name[@type=""personal""]/role"
2,"mods/relatedItem[@type=""host""]/location"
2,"mods/relatedItem[@type=""host""]"
2,"mods/name[@type=""conference""]/role"
2,"mods/note[@type=""content""]"
2,"mods/name[@type=""corporate""]/namePart"
2,"mods/name[@type=""family""]/role"
2,"mods/name[@type=""corporate""]"
2,"mods/subject[@displayLabel=""Name Subject""]"
2,"mods/originInfo/dateCreated[@encoding=""w3cdtf""]"
2,mods/titleInfo
2,mods/titleInfo/title
2,"mods/titleInfo/title[@DisplayLabel=""Khorzoo""]"
1,"mods/physicalDescription/form[@authority=""aat""]"
1,"mods/subject[@displayLabel=""Location""]/geographic"
1,"mods/subject[@displayLabel=""Time Period""]"
1,mods/physicalDescription/digitalOrigin
1,mods/physicalDescription/internetMediaType
1,"mods/subject[@displayLabel=""Time Period""]/temporal"
1,mods/physicalDescription/extent
1,"mods/physicalDescription/note[@type=""medium""]"
1,mods/physicalDescription
1,"mods/subject[@displayLabel=""Name Subject""]/name[@type=""personal""]"
1,"mods/genre[@authority=""aat""]"
1,mods/typeOfResource
1,"mods/abstract[@displayLabel=""Description""]"
1,"mods/subject[@displayLabel=""Genre Subject""]"
1,"mods/subject[@displayLabel=""Genre Subject""]/genre"
1,"mods/subject[@displayLabel=""Name Subject""]/name[@type=""corporate""]"
1,"mods/subject[@displayLabel=""Name Subject""]/name[@type=""personal""]/namePart"
1,"mods/subject[@displayLabel=""Name Subject""]/name[@type=""corporate""]/namePart"
1,mods
1,mods/language
1,mods/location/holdingSimple
1,mods/recordInfo/languageOfCataloging
1,mods/recordInfo/recordChangeDate
1,mods/recordInfo/recordCreationDate
1,"mods/recordInfo/recordContentSource[@authority=""local""]"
1,mods/recordInfo
1,"mods/note[@type=""preferred citation""]"
1,"mods/accessCondition[@type=""restrictions on access""]"
1,"mods/note[@type=""ownership""]"
1,mods/location/holdingSimple/copyInformation/shelfLocator
1,mods/location/holdingSimple/copyInformation/subLocation
1,mods/location/holdingSimple/copyInformation
1,"mods/location/physicalLocation[@displayLabel=""OCLC Member Symbol""]"
1,"mods/language/languageTerm[@type=""text""]"
1,"mods/location/physicalLocation[@displayLabel=""Physical Location""]"
1,mods/location
1,"mods/relatedItem[@type=""host""]/location/url[@displayLabel=""Repository Collection Guide""]"
1,"mods/relatedItem[@type=""host""]/titleInfo[@type=""alternative""]/partName"
1,"mods/relatedItem[@type=""host""]/titleInfo[@type=""alternative""]/partNumber"
1,"mods/relatedItem[@type=""host""]/titleInfo[@type=""alternative""]/title"
1,"mods/relatedItem[@type=""host""]/titleInfo[@type=""alternative""]"
1,"mods/relatedItem[@type=""host""]/location/url[@displayLabel=""Relation""]"
1,"mods/relatedItem[@type=""host""]/titleInfo[@displayLabel=""Digital Collection""]/title"
1,"mods/relatedItem[@type=""host""]/titleInfo[@displayLabel=""Digital Collection""]"
1,"mods/subject[@displayLabel=""Location""]"
1,"mods/language/languageTerm[@type=""code""]"
1,"mods/originInfo/place/placeTerm[@type=""text""]"
1,"mods/subject[@authority=""LCSH""]"
1,"mods/identifier[@type=""isbn""]"
1,"mods/relatedItem[@type=""host""]/titleInfo[@displayLabel=""Parent Item Title""]/title"
1,"mods/relatedItem[@type=""host""]/titleInfo[@displayLabel=""Parent Item Title""]"
1,"mods/titleInfo[@type=""uniform""]/subTitle"
1,"mods/titleInfo[@type=""uniform""]/title"
1,"mods/titleInfo[@type=""uniform""]/nonSort"
1,"mods/titleInfo[@type=""uniform""]"
1,"mods/titleInfo[@type=""abbreviated""]/subTitle"
1,"mods/titleInfo[@type=""abbreviated""]/title"
1,"mods/titleInfo[@type=""abbreviated""]/nonSort"
1,"mods/titleInfo[@type=""abbreviated""]"
1,"mods/titleInfo[@type=""translated""]/subTitle"
1,"mods/titleInfo[@type=""translated""]/title"
1,"mods/titleInfo[@type=""translated""]/nonSort"
1,"mods/titleInfo[@type=""translated""]"
1,"mods/titleInfo[@type=""alternative""]/subTitle"
1,"mods/titleInfo[@type=""alternative""]/title"
